filename,class_idx
1.jpg,3
2.jpg,3
3.jpg,3
4.jpg,3
5.jpg,3
6.jpg,3
7.jpg,2
8.jpg,3
9.jpg,3
10.jpg,5
11.jpg,2
12.jpg,3
13.jpg,3
14.jpg,3
15.jpg,3
16.jpg,3
17.jpg,3
18.jpg,3
19.jpg,3
20.jpg,3
21.jpg,3
22.jpg,3
23.jpg,3
24.jpg,3
25.jpg,3
26.jpg,3
27.jpg,3
28.jpg,3
29.jpg,3
30.jpg,2
31.jpg,3
32.jpg,3
33.jpg,3
34.jpg,3
35.jpg,2
36.jpg,5
37.jpg,3
38.jpg,3
39.jpg,3
40.jpg,3
41.jpg,3
42.jpg,3
43.jpg,0
44.jpg,3
45.jpg,6
46.jpg,3
47.jpg,1
48.jpg,1
49.jpg,1
50.jpg,1
51.jpg,4
52.jpg,1
53.jpg,1
54.jpg,0
55.jpg,1
56.jpg,6
57.jpg,1
58.jpg,4
59.jpg,1
60.jpg,6
61.jpg,1
62.jpg,3
63.jpg,1
64.jpg,6
65.jpg,6
66.jpg,1
67.jpg,1
68.jpg,1
69.jpg,1
70.jpg,1
71.jpg,1
72.jpg,1
73.jpg,1
74.jpg,1
75.jpg,1
76.jpg,6
77.jpg,6
78.jpg,1
79.jpg,4
80.jpg,1
81.jpg,1
82.jpg,1
83.jpg,0
84.jpg,1
85.jpg,1
86.jpg,1
87.jpg,1
88.jpg,6
89.jpg,1
90.jpg,5
91.jpg,1
92.jpg,0
93.jpg,6
94.jpg,1
95.jpg,6
96.jpg,1
97.jpg,1
98.jpg,1
99.jpg,1
100.jpg,1
101.jpg,6
102.jpg,6
103.jpg,5
104.jpg,1
105.jpg,1
106.jpg,1
107.jpg,1
108.jpg,1
109.jpg,1
110.jpg,1
111.jpg,1
112.jpg,1
113.jpg,1
114.jpg,1
115.jpg,1
116.jpg,1
117.jpg,1
118.jpg,1
119.jpg,1
120.jpg,1
121.jpg,1
122.jpg,1
123.jpg,1
124.jpg,1
125.jpg,1
126.jpg,3
127.jpg,1
128.jpg,1
129.jpg,1
130.jpg,1
131.jpg,1
132.jpg,1
133.jpg,1
134.jpg,1
135.jpg,1
136.jpg,1
137.jpg,1
138.jpg,1
139.jpg,1
140.jpg,1
141.jpg,1
142.jpg,1
143.jpg,1
144.jpg,1
145.jpg,1
146.jpg,1
147.jpg,1
148.jpg,1
149.jpg,1
150.jpg,1
151.jpg,1
152.jpg,1
153.jpg,1
154.jpg,1
155.jpg,1
156.jpg,1
157.jpg,1
158.jpg,1
159.jpg,1
160.jpg,1
161.jpg,1
162.jpg,1
163.jpg,1
164.jpg,0
165.jpg,0
166.jpg,1
167.jpg,1
168.jpg,1
169.jpg,1
170.jpg,3
171.jpg,1
172.jpg,1
173.jpg,1
174.jpg,1
175.jpg,1
176.jpg,3
177.jpg,3
178.jpg,1
179.jpg,1
180.jpg,1
181.jpg,1
182.jpg,6
183.jpg,1
184.jpg,6
185.jpg,1
186.jpg,3
187.jpg,6
188.jpg,1
189.jpg,1
190.jpg,1
191.jpg,7
192.jpg,6
193.jpg,1
194.jpg,7
195.jpg,1
196.jpg,3
197.jpg,1
198.jpg,3
199.jpg,6
200.jpg,1
201.jpg,3
202.jpg,1
203.jpg,6
204.jpg,6
205.jpg,1
206.jpg,1
207.jpg,0
208.jpg,7
209.jpg,3
210.jpg,4
211.jpg,6
212.jpg,3
213.jpg,7
214.jpg,6
215.jpg,1
216.jpg,7
217.jpg,3
218.jpg,6
219.jpg,1
220.jpg,6
221.jpg,1
222.jpg,1
223.jpg,1
224.jpg,6
225.jpg,1
226.jpg,3
227.jpg,6
228.jpg,6
229.jpg,0
230.jpg,6
231.jpg,6
232.jpg,6
233.jpg,1
234.jpg,6
235.jpg,1
236.jpg,3
237.jpg,3
238.jpg,6
239.jpg,6
240.jpg,6
241.jpg,1
242.jpg,1
243.jpg,6
244.jpg,6
245.jpg,3
246.jpg,6
247.jpg,1
248.jpg,1
249.jpg,0
250.jpg,6
251.jpg,3
252.jpg,1
253.jpg,6
254.jpg,0
255.jpg,6
256.jpg,6
257.jpg,6
258.jpg,6
259.jpg,2
260.jpg,6
261.jpg,7
262.jpg,6
263.jpg,1
264.jpg,6
265.jpg,2
266.jpg,3
267.jpg,1
268.jpg,3
269.jpg,6
270.jpg,0
271.jpg,6
272.jpg,1
273.jpg,6
274.jpg,6
275.jpg,1
276.jpg,1
277.jpg,6
278.jpg,3
279.jpg,1
280.jpg,1
281.jpg,6
282.jpg,7
283.jpg,1
284.jpg,2
285.jpg,1
286.jpg,1
287.jpg,4
288.jpg,1
289.jpg,1
290.jpg,1
291.jpg,6
292.jpg,4
293.jpg,4
294.jpg,1
295.jpg,4
296.jpg,1
297.jpg,1
298.jpg,1
299.jpg,1
300.jpg,1
301.jpg,1
302.jpg,1
303.jpg,1
304.jpg,1
305.jpg,1
306.jpg,1
307.jpg,1
308.jpg,1
309.jpg,1
310.jpg,5
311.jpg,1
312.jpg,1
313.jpg,1
314.jpg,1
315.jpg,1
316.jpg,1
317.jpg,1
318.jpg,1
319.jpg,1
320.jpg,1
321.jpg,4
322.jpg,1
323.jpg,1
324.jpg,1
325.jpg,1
326.jpg,1
327.jpg,1
328.jpg,1
329.jpg,1
330.jpg,4
331.jpg,6
332.jpg,1
333.jpg,4
334.jpg,1
335.jpg,1
336.jpg,1
337.jpg,1
338.jpg,1
339.jpg,1
340.jpg,1
341.jpg,4
342.jpg,2
343.jpg,2
344.jpg,2
345.jpg,2
346.jpg,2
347.jpg,2
348.jpg,2
349.jpg,2
350.jpg,2
351.jpg,2
352.jpg,2
353.jpg,2
354.jpg,2
355.jpg,2
356.jpg,2
357.jpg,2
358.jpg,2
359.jpg,2
360.jpg,2
361.jpg,2
362.jpg,2
363.jpg,2
364.jpg,2
365.jpg,2
366.jpg,2
367.jpg,2
368.jpg,2
369.jpg,2
370.jpg,2
371.jpg,2
372.jpg,2
373.jpg,2
374.jpg,2
375.jpg,2
376.jpg,2
377.jpg,2
378.jpg,2
379.jpg,2
380.jpg,2
381.jpg,2
382.jpg,2
383.jpg,2
384.jpg,2
385.jpg,2
386.jpg,2
387.jpg,2
388.jpg,2
389.jpg,2
390.jpg,2
391.jpg,2
392.jpg,2
393.jpg,2
394.jpg,2
395.jpg,2
396.jpg,2
397.jpg,2
398.jpg,2
399.jpg,2
400.jpg,2
401.jpg,2
402.jpg,1
403.jpg,1
404.jpg,4
405.jpg,0
406.jpg,0
407.jpg,4
408.jpg,4
409.jpg,4
410.jpg,1
411.jpg,1
412.jpg,6
413.jpg,0
414.jpg,1
415.jpg,0
416.jpg,6
417.jpg,1
418.jpg,1
419.jpg,1
420.jpg,1
421.jpg,1
422.jpg,6
423.jpg,4
424.jpg,1
425.jpg,4
426.jpg,6
427.jpg,6
428.jpg,6
429.jpg,4
430.jpg,1
431.jpg,4
432.jpg,4
433.jpg,6
434.jpg,1
435.jpg,0
436.jpg,1
437.jpg,4
438.jpg,6
439.jpg,6
440.jpg,1
441.jpg,1
442.jpg,1
443.jpg,6
444.jpg,1
445.jpg,1
446.jpg,6
447.jpg,6
448.jpg,0
449.jpg,6
450.jpg,1
451.jpg,1
452.jpg,6
453.jpg,1
454.jpg,4
455.jpg,1
456.jpg,1
457.jpg,1
458.jpg,6
459.jpg,6
460.jpg,6
461.jpg,1
462.jpg,8
463.jpg,3
464.jpg,1
465.jpg,1
466.jpg,3
467.jpg,1
468.jpg,3
469.jpg,1
470.jpg,1
471.jpg,6
472.jpg,1
473.jpg,1
474.jpg,1
475.jpg,4
476.jpg,6
477.jpg,8
478.jpg,8
479.jpg,1
480.jpg,1
481.jpg,6
482.jpg,4
483.jpg,1
484.jpg,6
485.jpg,1
486.jpg,4
487.jpg,3
488.jpg,1
489.jpg,3
490.jpg,1
491.jpg,1
492.jpg,4
493.jpg,8
494.jpg,1
495.jpg,8
496.jpg,6
497.jpg,1
498.jpg,1
499.jpg,6
500.jpg,1
501.jpg,3
502.jpg,7
503.jpg,1
504.jpg,1
505.jpg,4
506.jpg,1
507.jpg,0
508.jpg,1
509.jpg,4
510.jpg,1
511.jpg,8
512.jpg,1
513.jpg,4
514.jpg,0
515.jpg,4
516.jpg,3
517.jpg,6
518.jpg,3
519.jpg,1
520.jpg,1
521.jpg,4
522.jpg,4
523.jpg,4
524.jpg,3
525.jpg,1
526.jpg,6
527.jpg,1
528.jpg,4
529.jpg,1
530.jpg,7
531.jpg,1
532.jpg,3
533.jpg,1
534.jpg,3
535.jpg,3
536.jpg,3
537.jpg,6
538.jpg,4
539.jpg,4
540.jpg,4
541.jpg,6
542.jpg,4
543.jpg,4
544.jpg,1
545.jpg,4
546.jpg,4
547.jpg,1
548.jpg,1
549.jpg,6
550.jpg,7
551.jpg,4
552.jpg,1
553.jpg,4
554.jpg,1
555.jpg,6
556.jpg,1
557.jpg,4
558.jpg,1
559.jpg,1
560.jpg,6
561.jpg,1
562.jpg,1
563.jpg,6
564.jpg,6
565.jpg,1
566.jpg,4
567.jpg,1
568.jpg,4
569.jpg,1
570.jpg,6
571.jpg,6
572.jpg,1
573.jpg,6
574.jpg,3
575.jpg,4
576.jpg,6
577.jpg,1
578.jpg,1
579.jpg,6
580.jpg,1
581.jpg,6
582.jpg,4
583.jpg,1
584.jpg,3
585.jpg,1
586.jpg,4
587.jpg,4
588.jpg,3
589.jpg,1
590.jpg,4
591.jpg,7
592.jpg,4
593.jpg,7
594.jpg,1
595.jpg,1
596.jpg,4
597.jpg,1
598.jpg,1
599.jpg,4
600.jpg,4
601.jpg,7
602.jpg,1
603.jpg,4
604.jpg,3
605.jpg,4
606.jpg,7
607.jpg,1
608.jpg,1
609.jpg,6
610.jpg,6
611.jpg,1
612.jpg,2
613.jpg,1
614.jpg,7
615.jpg,2
616.jpg,7
617.jpg,4
618.jpg,6
619.jpg,3
620.jpg,6
621.jpg,1
622.jpg,4
623.jpg,4
624.jpg,1
625.jpg,1
626.jpg,6
627.jpg,6
628.jpg,6
629.jpg,3
630.jpg,4
631.jpg,6
632.jpg,7
633.jpg,6
634.jpg,1
635.jpg,4
636.jpg,6
637.jpg,6
638.jpg,6
639.jpg,3
640.jpg,6
641.jpg,6
642.jpg,6
643.jpg,1
644.jpg,6
645.jpg,1
646.jpg,6
647.jpg,4
648.jpg,6
649.jpg,6
650.jpg,6
651.jpg,6
652.jpg,1
653.jpg,6
654.jpg,6
655.jpg,4
656.jpg,7
657.jpg,1
658.jpg,1
659.jpg,1
660.jpg,4
661.jpg,6
662.jpg,0
663.jpg,6
664.jpg,6
665.jpg,1
666.jpg,1
667.jpg,1
668.jpg,1
669.jpg,1
670.jpg,1
671.jpg,1
672.jpg,6
673.jpg,1
674.jpg,6
675.jpg,6
676.jpg,6
677.jpg,6
678.jpg,4
679.jpg,6
680.jpg,4
681.jpg,4
682.jpg,4
683.jpg,6
684.jpg,6
685.jpg,6
686.jpg,6
687.jpg,0
688.jpg,6
689.jpg,1
690.jpg,6
691.jpg,4
692.jpg,6
693.jpg,6
694.jpg,6
695.jpg,6
696.jpg,3
697.jpg,1
698.jpg,6
699.jpg,4
700.jpg,6
701.jpg,7
702.jpg,7
703.jpg,4
704.jpg,0
705.jpg,0
706.jpg,7
707.jpg,7
708.jpg,7
709.jpg,0
710.jpg,3
711.jpg,3
712.jpg,3
713.jpg,6
714.jpg,3
715.jpg,6
716.jpg,4
717.jpg,4
718.jpg,0
719.jpg,7
720.jpg,3
721.jpg,6
722.jpg,4
723.jpg,0
724.jpg,3
725.jpg,0
726.jpg,6
727.jpg,7
728.jpg,3
729.jpg,4
730.jpg,3
731.jpg,0
732.jpg,0
733.jpg,0
734.jpg,0
735.jpg,4
736.jpg,4
737.jpg,3
738.jpg,0
739.jpg,2
740.jpg,3
741.jpg,3
742.jpg,3
743.jpg,0
744.jpg,4
745.jpg,3
746.jpg,3
747.jpg,0
748.jpg,0
749.jpg,6
750.jpg,0
751.jpg,0
752.jpg,1
753.jpg,0
754.jpg,0
755.jpg,3
756.jpg,3
757.jpg,0
758.jpg,3
759.jpg,1
760.jpg,6
761.jpg,6
762.jpg,1
763.jpg,6
764.jpg,0
765.jpg,1
766.jpg,1
767.jpg,6
768.jpg,1
769.jpg,6
770.jpg,1
771.jpg,1
772.jpg,1
773.jpg,3
774.jpg,1
775.jpg,1
776.jpg,1
777.jpg,1
778.jpg,1
779.jpg,6
780.jpg,1
781.jpg,6
782.jpg,1
783.jpg,1
784.jpg,6
785.jpg,1
786.jpg,1
787.jpg,1
788.jpg,1
789.jpg,4
790.jpg,1
791.jpg,1
792.jpg,6
793.jpg,6
794.jpg,6
795.jpg,1
796.jpg,1
797.jpg,1
798.jpg,1
799.jpg,1
800.jpg,1
801.jpg,6
802.jpg,6
803.jpg,7
804.jpg,6
805.jpg,7
806.jpg,1
807.jpg,1
808.jpg,1
809.jpg,1
810.jpg,1
811.jpg,7
812.jpg,1
813.jpg,1
814.jpg,1
815.jpg,4
816.jpg,6
817.jpg,1
818.jpg,6
819.jpg,1
820.jpg,4
821.jpg,1
822.jpg,4
823.jpg,1
824.jpg,4
825.jpg,1
826.jpg,1
827.jpg,4
828.jpg,1
829.jpg,1
830.jpg,4
831.jpg,4
832.jpg,1
833.jpg,1
834.jpg,3
835.jpg,4
836.jpg,1
837.jpg,1
838.jpg,1
839.jpg,4
840.jpg,4
841.jpg,4
842.jpg,1
843.jpg,3
844.jpg,4
845.jpg,1
846.jpg,1
847.jpg,4
848.jpg,1
849.jpg,1
850.jpg,1
851.jpg,1
852.jpg,1
853.jpg,5
854.jpg,1
855.jpg,4
856.jpg,1
857.jpg,4
858.jpg,4
859.jpg,1
860.jpg,1
861.jpg,1
862.jpg,4
863.jpg,4
864.jpg,4
865.jpg,1
866.jpg,4
867.jpg,3
868.jpg,1
869.jpg,3
870.jpg,4
871.jpg,1
872.jpg,4
873.jpg,1
874.jpg,5
875.jpg,3
876.jpg,4
877.jpg,4
878.jpg,4
879.jpg,4
880.jpg,4
881.jpg,1
882.jpg,6
883.jpg,7
884.jpg,4
885.jpg,4
886.jpg,4
887.jpg,4
888.jpg,4
889.jpg,1
890.jpg,1
891.jpg,4
892.jpg,5
893.jpg,7
894.jpg,4
895.jpg,4
896.jpg,4
897.jpg,4
898.jpg,6
899.jpg,4
900.jpg,4
901.jpg,6
902.jpg,6
903.jpg,1
904.jpg,3
905.jpg,1
906.jpg,7
907.jpg,1
908.jpg,1
909.jpg,4
910.jpg,6
911.jpg,6
912.jpg,6
913.jpg,4
914.jpg,1
915.jpg,6
916.jpg,6
917.jpg,4
918.jpg,4
919.jpg,4
920.jpg,6
921.jpg,4
922.jpg,4
923.jpg,4
924.jpg,4
925.jpg,6
926.jpg,6
927.jpg,3
928.jpg,4
929.jpg,1
930.jpg,1
931.jpg,1
932.jpg,1
933.jpg,4
934.jpg,4
935.jpg,6
936.jpg,1
937.jpg,4
938.jpg,4
939.jpg,4
940.jpg,4
941.jpg,0
942.jpg,4
943.jpg,4
944.jpg,3
945.jpg,4
946.jpg,2
947.jpg,4
948.jpg,4
949.jpg,7
950.jpg,4
